title,paragraphs
The Candidates: Pete Buttigieg," Look, everybody supports religious freedom  Certainly everybody in South Bend, including me  What this bill has done is send exactly the wrong message about what kind of state we are  And I don't want people thinking when they first think of South Bender, they think of Indiana about discrimination"
The Candidates: Pete Buttigieg," I want them thinking about everything that's good here  I'm fighting him on it, of course, because it's a terrible policy"
The Candidates: Pete Buttigieg," But now I'm fighting this terrible anti gay policy, putatively from the perspective of a straight ally, wondering whether I'm more effective because people don't know that I'm gay and at the same time knowing that that this just kind of speeds things up even more"
The Candidates: Pete Buttigieg," That, like, is just a really weird position to be in to be having all these hypothetical arguments about discrimination against gay people when it really means me  Meanwhile, this is also the period when we realize that that soon the Supreme Court's gonna weigh in on marriage"
The Candidates: Pete Buttigieg," When all of this was happening in that early part of 2015 while I'm wrestling with how to do this  And so, oddly enough, it was another military experience  I had my two weeks a year that you do when you're in the reserve"
The Candidates: Pete Buttigieg," I went off to training, and if you're as busy as a ZAY was his mayor, military duty actually felt like kind of a almost like a break because it was eight hour days, 40 hour week"
The Candidates: Pete Buttigieg," I wasn't used to having that much time, and so is a lot of time to sit and and write and think and call friends and get advice  So you produce a plan? Yeah, well, I produced a letter and op ed, I guess"
The Candidates: Pete Buttigieg," What was the essential line? You know, I'm sure you remember that you wrote, um I remember saying that it's just part of who I am and that it has no bearing on how I do my job the way I do  My did my job"
The Candidates: Pete Buttigieg," Either as an officer is a mayor or in business had nothing do with the fact that I was getting on dhe that it still sounds a little defensive  Yeah, um or maybe a little scared  Probably  Yeah"
The Candidates: Pete Buttigieg," I mean, ah, you know, I didn't feel like I was coming out guns blazing  And I felt like I again, part of me was bothered that I had to share this at all  Then part of me knew that it would do some good if I did"
The Candidates: Pete Buttigieg," I'm not just in my own life that my main agenda was personally, I want to get out there and start dating, but also, that would mean something"
The Candidates: Pete Buttigieg," I mean all kinds of things to a whole bunch of different people When I came out and said This old back to kill a Mockingbird is unmissable and unforgettable Raves Rolling Stone five stars The New York Times declared it a critics pick saying This is a mockingbird for our moments of beautiful elegy, IQ satisfying, even exhilarating new play about justice in America"
The Candidates: Pete Buttigieg," New York Magazine calls it majestic and incandescent  This mockingbird is filled with breath and nuance and soul This is the most successful American play in Broadway history, says 60 Minutes  Harper Lee's To Kill a Mockingbird, a new play by Aaron Sorkin  Tickets at tele charge dot com"
The Candidates: Pete Buttigieg," Ah, very personal announcement coming from South and Mayor Pete Buddha judge Today  In an essay published in today's South Bend Tribune, the mayor announced he is gay"
The Candidates: Pete Buttigieg," Currently in the midst of running for a second term, Pete Buddha judge penned an essay in Tuesday's South Bend Tribune revealing he was gay  A lot of people wondering why he chose to make this announcement"
The Candidates: Pete Buttigieg," Now it comes just months after the state's religious freedom law thrust the state into the national debate on gay rights  As for the mayor himself, he says, nothing is different, Nothing has changed and his focus is on South Bend"
The Candidates: Pete Buttigieg," I want to talk about the timing of the exact moment of the up, because my sense is that at this phase of your career, your up for re election right, you've won the primary and winning the primary in a sense, means you're you're standing a very good shot of winning, depending on the year"
The Candidates: Pete Buttigieg," But yeah, in South Bend, it should be  So does that mean you deliberately chose a like, a safe, low risk? Time to do this? I don't know  I would think that going into a Democratic primary would be a safer time than going into a general election"
The Candidates: Pete Buttigieg, And I think also the decision to do this came by way of realizing that there's no such thing as a safe time  I was just done with not having the kind of personal life that I wanted to have
The Candidates: Pete Buttigieg," So once you come on, how does your personal life change? Well, I started dating, and it kind of changes everything  I'm gonna sell it this very demanding job  You're the mayor"
The Candidates: Pete Buttigieg," And so anybody in town that you ask toe like have a cup of coffee is it's a thing  Yeah, it's a thing  It might be misinterpreted  You could cross some line without meaning to"
The Candidates: Pete Buttigieg," I mean, most of the people I interacted were either people who needed something from me, people I needed something from or people who worked for me  So it's not like a very healthy pool what I'm saying"
The Candidates: Pete Buttigieg," And I remember thinking there were all these all these kind of city fathers who early on my time is mayor, seemed determined to fix me up with their daughters"
The Candidates: Pete Buttigieg," And I was just thinking like, Where are you now? Like did none of you have like a son or a nephew or something? So I did what millennials do  I went online  It turns out there's APS for all of this"
The Candidates: Pete Buttigieg," There was OK, Cupid Tender, the one that actually came through for me was called a hinge  And it's supposed to serve up people that I don't know how the algorithm works"
The Candidates: Pete Buttigieg," But I find this guy, this cute guy with a big smile and, ah, like I want to know this guy  So start chatting  Well, I was chatting with a lot of people, but obviously he's the one I remember because that was Justin  You feed your husband? Yes"
The Candidates: Pete Buttigieg," So your story too many people is a particularly compelling when everything we've just discussed you are a Harvard graduate Rhodes scholar  You're a veteran, you're gay, you're religious"
The Candidates: Pete Buttigieg," And from your own description of yourself, it feels like you have been thinking about politics and preparing to some degree to run for president for a very long time  Even though you're quite young  And I'm sure you understand that I have heard this"
The Candidates: Pete Buttigieg, That has led to this perception of a person kind of perhaps orchestrating a political biography
The Candidates: Pete Buttigieg," Do you ever question whether that no matter what your intention is could possibly undermine the power of the story itself, however genuine? Yeah, I think we're condition to not like the idea of somebody who sat around thinking all their lives about how to become president"
The Candidates: Pete Buttigieg, And I don't view myself that way  Although I get that that that story has been written around me  Although I also don't know what it is we expect  Like that somebody can get struck by lightning and then and then they turn into somebody who might become president
The Candidates: Pete Buttigieg," We all have these paths, right that they bring us to where we are  And I think anybody in professional life or even social life thinks about this story that you tell about yourself at the end of the day"
The Candidates: Pete Buttigieg, I'm not doing this because I have this personal need to be in elected office  Were to be the president  I'm not coming in  The presidency is a thing that I'd liketo occupy  I'm coming out is this way to do something that I think I'm able to d'oh
The Candidates: Pete Buttigieg," And I think it's helpful in the sense that I could also have a very happy life doing something else  And oddly, I think that that helps prepare me to do what's required toe to do this  And this is advice  I give talking to students, too"
The Candidates: Pete Buttigieg," You imagine somebody's being sworn in an ambitious, talented person, kind of the middle of their career, is being sworn in as an assistant secretary in the State Department for the Middle East and then imagine if if that person has got there one of two ways in kind of universe"
The Candidates: Pete Buttigieg, A
